Census Tract,EDUCATIONAL ATTAINMENT: Population 25 years and over,"EDUCATIONAL ATTAINMENT: Population 25 years and over: 9th to 12th grade, no diploma",EDUCATIONAL ATTAINMENT: Population 25 years and over: Associate's degree,EDUCATIONAL ATTAINMENT: Population 25 years and over: Bachelor's degree,EDUCATIONAL ATTAINMENT: Population 25 years and over: Bachelor's degree or higher,EDUCATIONAL ATTAINMENT: Population 25 years and over: Graduate or professional degree,EDUCATIONAL ATTAINMENT: Population 25 years and over: High school graduate (includes equivalency),EDUCATIONAL ATTAINMENT: Population 25 years and over: High school graduate or higher,EDUCATIONAL ATTAINMENT: Population 25 years and over: Less than 9th grade,"EDUCATIONAL ATTAINMENT: Population 25 years and over: Some college, no degree",GEO Identifier,HOUSEHOLDS BY TYPE: Total households,HOUSEHOLDS BY TYPE: Total households: Average family size,HOUSEHOLDS BY TYPE: Total households: Average household size,SCHOOL ENROLLMENT: Population 3 years and over enrolled in school,SCHOOL ENROLLMENT: Population 3 years and over enrolled in school: College or graduate school,SCHOOL ENROLLMENT: Population 3 years and over enrolled in school: Elementary school (grades 1-8),SCHOOL ENROLLMENT: Population 3 years and over enrolled in school: High school (grades 9-12),SCHOOL ENROLLMENT: Population 3 years and over enrolled in school: Kindergarten,"SCHOOL ENROLLMENT: Population 3 years and over enrolled in school: Nursery school, preschool",GLOBALID,x,y
35,2282,77,6,672,1567,895,285,2114,91,256,11001003500,1481,2.79,1.8,2459,2168,129,134,8,20,{302E584D-A70E-4712-A934-B1CAE82460DB},,
36,3885,144,15,1203,2820,1617,405,3540,201,300,11001003600,2187,2.73,1.98,614,280,228,7,11,88,{3B2B9026-7CA8-4C8F-B479-2E69830C8B84},,
37.01,1740,112,16,455,1226,771,199,1574,54,133,11001003701,1263,2.58,1.65,313,115,76,81,0,41,{B903BBB5-CC19-426A-9FF0-97123CF49638},,
37.02,2136,179,11,738,1215,477,624,1957,0,107,11001003702,1474,3.26,2.01,863,182,281,0,155,245,{2B5FADFC-6D66-4266-87A3-8BB8F0549732},,
38.01,1327,0,0,521,1289,768,0,1327,0,38,11001003801,1014,2.6,1.58,224,69,53,0,53,49,{E0F3F503-4F45-4A58-9C8C-988AE358B16A},,
38.02,2811,58,12,1049,2272,1223,189,2620,133,147,11001003802,1889,2.78,1.79,408,164,151,23,0,70,{9304984C-1E81-4B51-B1C2-32A7000EF0E8},,
39.01,2227,0,0,491,2012,1521,78,2215,12,125,11001003901,1752,2.39,1.45,145,93,33,0,8,11,{48A381C6-CAA3-4854-BC4D-EEAFC5FE7C9A},,
39.02,1230,39,24,455,1004,549,91,1191,0,72,11001003902,970,2.67,1.8,303,64,148,91,0,0,{A0D79550-A699-42B7-A749-2763BFF22BEA},,
40.01,3963,19,60,1560,3638,2078,104,3930,14,128,11001004001,2493,2.74,1.85,539,160,209,37,28,105,{12C1715F-7C9B-4751-A5B2-81F9B0DDF3A4},,
40.02,2727,0,69,919,2527,1608,5,2680,47,79,11001004002,2052,2.62,1.54,387,87,250,40,0,10,{027D14F9-4217-4E0A-86B9-C382D5EEEEDB},,
41,1981,35,18,506,1830,1324,47,1946,0,51,11001004100,1322,2.76,1.82,334,199,75,35,25,0,{1B6EA8B0-3F38-4B07-B2E1-7F442180A3DE},,
42.01,3071,55,23,1618,2787,1169,54,2974,42,110,11001004201,1891,2.92,1.99,510,324,13,0,0,173,{588B5891-9CE8-4654-9F14-CC58F8D39596},,
42.02,2263,3,14,976,2129,1153,47,2260,0,70,11001004202,1539,2.31,1.62,399,364,0,14,21,0,{0AD802D6-8972-4F0F-99A0-D39DA2F82AC4},,
43,3382,125,32,1111,2931,1820,171,3209,48,75,11001004300,2460,2.96,1.63,362,246,77,0,0,39,{D5761C0C-53C5-4503-A1F1-259672594DAB},,
44.01,2680,27,16,828,2496,1668,55,2598,55,31,11001004401,1743,3.09,1.96,422,188,131,0,103,0,{B2C95603-1007-4AA7-8696-D6E04D36EB38},,
44.02,2135,36,82,564,1519,955,374,2099,0,124,11001004402,1120,3.03,2.31,189,115,55,4,8,7,{ABB57B13-BAF1-46E6-87C2-661A61B505D1},,
46,2405,64,99,662,1560,898,353,2303,38,291,11001004600,1510,2.58,1.98,296,90,149,25,4,28,{C9735B3E-EE88-4DC7-B875-9710852ED3D0},,
47.02,3463,190,83,1031,2802,1771,231,3250,23,134,11001004702,2285,2.31,1.53,340,298,32,0,0,10,{FD7FBFDB-1571-4BAC-8169-3EC6FF1D8B04},,
47.03,2541,126,56,580,1498,918,508,2092,323,30,11001004703,1791,2.6,1.73,599,414,73,84,0,28,{CA9D1C98-ACF1-498D-B188-17C2F1C2633E},,
47.04,776,55,158,1,52,51,324,721,0,187,11001004704,732,3.12,1.64,353,199,45,88,21,0,{B21FFAAC-5434-4283-996A-57D4573E19DC},,
48.01,2513,94,34,881,1860,979,279,2304,115,131,11001004801,1422,2.86,2.04,290,134,10,34,0,112,{30B65BAF-C96B-4D76-A2D6-75DFECCDA048},,
48.02,2673,160,22,552,1741,1189,257,2316,197,296,11001004802,1634,2.86,2.01,533,128,302,101,0,2,{40D32A2A-970D-423B-93A3-DFE5F2058FA4},,
49.01,2594,117,72,933,1896,963,270,2475,2,237,11001004901,1835,2.86,1.76,518,287,164,49,0,18,{6E774673-4DD6-4C58-8791-7C97D1FF0E8B},,
49.02,2773,11,120,1047,2273,1226,225,2719,43,101,11001004902,2092,2.64,1.59,323,137,119,51,0,16,{83CC109E-AF4F-4FC8-A5A9-5634EAA42DEA},,
50.01,1748,24,12,728,1577,849,58,1699,25,52,11001005001,1074,2.03,1.72,155,78,49,4,14,10,{ABD27345-2792-4CBE-A7C3-800E8C6B8249},,
50.03,1467,7,0,397,1299,902,14,1460,0,147,11001005003,1090,2.22,1.46,162,144,18,0,0,0,{2B63428C-A831-4333-8F1E-FAA72B5A482B},,
50.04,3074,178,0,806,1982,1176,370,2525,371,173,11001005004,2358,3.1,1.75,858,536,193,47,16,66,{FA8E1854-430B-4A22-8CF2-EDF88DD589C8},,
52.02,2617,19,0,751,2325,1574,206,2598,0,67,11001005202,1964,2,1.37,4,4,0,0,0,0,{BFEA57FD-D7D0-4B5D-960E-C97C291F3DF0},,
52.03,3150,0,0,1155,2498,1343,172,3127,23,457,11001005203,2473,2.39,1.4,433,259,174,0,0,0,{8E0FC82A-D569-4B64-9018-0E9B2D8B4F68},,
53.02,2274,0,10,1059,2183,1124,17,2274,0,64,11001005302,1615,2.71,1.57,307,208,30,21,0,48,{37B1953E-CADE-4C23-94A8-B026FC644512},,
53.03,2385,0,0,825,2247,1422,33,2385,0,105,11001005303,2001,2.18,1.29,251,177,39,5,14,16,{E0AD44FA-3AB3-401B-9C80-62380162D877},,
55.01,1434,0,31,400,1304,904,31,1397,37,31,11001005501,1170,1.93,1.43,319,319,0,0,0,0,{AF41A75D-F8EA-4295-9379-6BADA7FB4A75},,
55.02,1982,31,98,615,1661,1046,73,1951,0,119,11001005502,1594,2.4,1.48,594,503,46,0,0,45,{B7AEA9CC-564E-4444-A5FD-223AF3ACC337},,
55.03,1327,0,0,331,1327,996,0,1327,0,0,11001005503,1151,2.14,1.57,574,574,0,0,0,0,{9E52E314-0937-48E2-8B5D-84D69BD5D4A6},,
56.01,1773,0,19,555,1574,1019,19,1773,0,161,11001005601,1792,2.27,1.35,930,906,24,0,0,0,{C9C988C9-5D5B-4924-A69F-39C239008914},,
56.02,2430,0,23,544,2236,1692,70,2430,0,101,11001005602,1823,2.16,1.49,1991,1980,0,0,0,11,{4FBBBC93-428C-48DF-AC04-503D1685DA67},,
58.01,1748,32,35,498,1253,755,195,1580,136,97,11001005801,1182,2.32,1.39,154,117,17,9,0,11,{5D9A75BC-78CB-4C5A-8BCB-B7E908833801},,
58.02,1781,0,69,501,1571,1070,22,1781,0,119,11001005802,1421,2.06,1.36,166,154,12,0,0,0,{EB4722D6-B594-4D03-B6D0-752094D6CEBA},,
59,1910,63,18,1028,1507,479,75,1791,56,191,11001005900,1368,2.18,1.49,518,502,16,0,0,0,{93CFB8FC-9D53-4F5F-9AC4-2ED63B3AA9A0},,
64,1784,363,29,494,748,254,316,1264,157,171,11001006400,1319,2.65,1.89,381,97,120,134,25,5,{0DD9065E-C4D5-4FF7-AFF4-3FF419793925},,
65,2248,0,86,1004,1837,833,127,2231,17,181,11001006500,1335,3,1.98,516,90,180,152,37,57,{D71C8AF2-BBCB-4FFE-BF70-9EE48DC2A703},,
66,1788,0,19,387,1578,1191,0,1745,43,148,11001006600,1096,2.43,1.85,188,47,86,16,8,31,{D12A189B-7DAB-42FC-B141-AD05C0EE5F83},,
67,3450,50,50,1074,3192,2118,52,3400,0,106,11001006700,2070,2.81,2.06,710,192,235,68,83,132,{95BE2499-7F1E-4DB0-9EB8-85BE8C3DBC23},,
68.01,1677,16,86,473,1198,725,255,1644,17,105,11001006801,1027,2.75,2.17,259,92,76,40,8,43,{EEACD31C-ABC5-40FF-834D-A78BB62474F0},,
68.02,1718,0,6,600,1332,732,244,1716,2,134,11001006802,1025,2.69,2.23,318,62,91,53,68,44,{1C2DCF21-5804-4D9C-97F4-DCA5742E195A},,
68.04,2336,368,64,166,233,67,1354,1827,141,176,11001006804,29,3.4,3.48,150,78,7,65,0,0,{0D6520AE-46F1-429C-8DFC-4333A106153A},,
69,2064,15,0,552,1826,1274,142,2046,3,78,11001006900,1235,3.05,2.26,668,257,247,22,78,64,{CA8EE136-A49F-4FDD-9ECE-43C42E3ED349},,
70,1896,35,75,656,1656,1000,45,1861,0,85,11001007000,1069,2.82,2.14,348,65,148,38,15,82,{92540EEA-9C9B-466D-A785-478B1D91335E},,
71,2246,177,37,667,1394,727,353,2020,49,236,11001007100,1389,3.69,2.44,843,459,199,145,8,32,{48AD7EBE-1D9F-4E72-9A22-3A1CEF759926},,
72.01,1716,0,102,711,1482,771,3,1716,0,129,11001007201,1361,1.99,1.39,153,153,0,0,0,0,{48165278-A613-4843-B9E3-00C1324F6B38},,
72.02,3529,0,71,1959,3243,1284,35,3512,17,163,11001007202,2399,2.2,1.6,179,113,35,0,0,31,{4C37E8D8-5879-4022-98C3-38B27ED31603},,
72.03,2329,8,72,819,1900,1081,231,2289,32,86,11001007203,1512,2.74,1.91,457,183,105,13,69,87,{04B05358-777F-4C9E-8C54-AAEE36B02C48},,
73.01,2536,0,205,538,1452,914,132,2536,0,747,11001007301,1384,3.5,3.18,1894,658,747,113,105,271,{E6015B33-1E53-4335-8153-7F44577A0CED},,
74.01,1047,131,50,70,162,92,368,838,78,258,11001007401,818,2.84,1.88,222,4,155,28,14,21,{E8A6D782-6BE3-48BF-87D2-09784F8A0D22},,
74.06,1621,47,112,250,310,60,716,1572,2,434,11001007406,1299,3.74,3.04,1795,335,684,481,31,264,{4C0FFF38-F5E5-4A65-BC14-29FF4D958834},,
74.07,2098,185,118,322,533,211,836,1874,39,387,11001007407,1412,3.19,2.41,1298,224,537,345,86,106,{75F7760C-9320-4B13-A46F-BA036E7E04F3},,
75.02,2849,430,114,287,378,91,1287,2318,101,539,11001007502,1818,3.62,2.69,1731,113,898,422,110,188,{1362A958-2A84-46E2-9C24-7301A545A0E7},,
75.03,1460,165,43,146,253,107,566,1256,39,394,11001007503,872,4.04,2.87,982,100,293,369,33,187,{74069F6F-2F5C-4D61-B814-0588B8F71EC3},,
75.04,1698,249,51,265,430,165,526,1418,31,411,11001007504,1254,3.18,2.17,980,147,455,120,56,202,{8B000399-57C1-4739-9BDA-1710859B64DB},,
76.01,3547,327,84,771,1390,619,1077,3033,187,482,11001007601,2214,3.06,2.19,1136,286,547,93,68,142,{071F1D43-C86E-44C0-B770-0F3AE6CF82A6},,
76.03,2950,87,128,795,1538,743,401,2785,78,718,11001007603,2244,3.01,1.84,744,317,190,2,40,195,{49802389-4389-4025-ACF5-5EBFFA4FF406},,
76.04,3166,118,402,452,948,496,954,2979,69,675,11001007604,1809,3.26,2.23,830,348,235,191,22,34,{2DE2E934-8A04-449F-8626-6C07A291935B},,
76.05,2933,187,155,288,762,474,1081,2659,87,661,11001007605,1883,2.73,1.78,751,418,169,90,74,0,{EBC82E46-5B3D-424B-A0EA-C9FB1BC64F47},,
77.03,4086,299,102,198,365,167,2025,3614,173,1122,11001007703,2298,4.11,3.1,2489,468,900,614,280,227,{96C1BE05-E060-4D7A-B123-D4473BB1A904},,
77.07,2963,507,156,270,699,429,1147,2338,118,336,11001007707,1822,3.66,2.5,907,157,531,89,29,101,{AA54DCE0-DEE8-48A5-AC5C-A626FA4B51B3},,
77.08,1581,240,71,83,232,149,350,1312,29,659,11001007708,1064,3.1,2.21,390,39,150,163,7,31,{2CEF0316-4A0D-4F66-80B3-61A92AAF9885},,
77.09,1608,348,18,145,251,106,534,1243,17,440,11001007709,1185,2.79,1.82,535,75,339,95,26,0,{1FB2C64E-9AA1-42AE-80CE-D518D7FBF33C},,
78.03,3207,518,369,336,639,303,730,2456,233,718,11001007803,2304,2.83,1.96,975,198,277,241,134,125,{660D41E5-B157-4433-B90F-8D1F29200BE9},,
78.04,2135,247,105,367,597,230,655,1866,22,509,11001007804,1284,3.44,2.87,1707,327,660,350,267,103,{8CF34736-B49A-488F-82B6-B451F33ACEEC},,
78.06,2096,57,101,283,555,272,805,1984,55,523,11001007806,1192,3.23,2.11,421,61,250,9,27,74,{CA99424E-CD8F-4205-9F58-A0B8E6C05C73},,
